Model,Accuracy,AUC_macro,AUC_weighted,Precision_macro,Precision_weighted,Recall_macro,Recall_weighted,F1_macro,F1_weighted,PR_AUC_macro,PR_AUC_weighted,Log_Loss
ConvNeXtBase,0.972550343120711,0.9993978623343668,0.9991633685534652,0.9751154972935191,0.9732092592582148,0.9689524445747374,0.972550343120711,0.9716209785479303,0.9725574649303366,0.9960253017177554,0.9955589180925771,0.10948402838216081
ViT-Base,0.9806502418719766,0.9989248101429721,0.998710920538384,0.9813501728353455,0.9809232036682591,0.9781321799255199,0.9806502418719766,0.9795293387388184,0.9805900976394117,0.9936968281008421,0.993108290986683,0.14475757042727574
EfficientNetV2M,0.9709753628079649,0.9990985124474893,0.9992860126350297,0.9682201786023391,0.9720509410920292,0.9686794514845769,0.9709753628079649,0.9676394729448631,0.9706693935917503,0.9942065514454469,0.9952075345771311,0.12125067716560564
InceptionResNetV2,0.9721565980425245,0.9993049403463942,0.9992413705205168,0.9714229263198273,0.9722437841092589,0.9706737353330582,0.9721565980425245,0.9709209779751337,0.9720720163863494,0.9939039928109769,0.9941710390750211,0.13316114460952935
SoftVoting,0.9856564292946338,0.9998029037919051,0.999782029200871,0.9864412539218533,0.9858681643780332,0.9851486619112696,0.9856564292946338,0.9856880449026743,0.9856526571771274,0.9982659707668714,0.9982729050088595,0.048692507537020945
RigorousStacking,0.9855439307008662,0.9989317749845575,0.9986686744425084,0.9864229983061324,0.9856849990413545,0.9850034418403898,0.9855439307008662,0.985637502223722,0.9855435094246207,0.9956416038153963,0.9955099242581946,0.126240354627997
