Model,Accuracy,AUC,F1,Precision,Recall,PR-AUC
ConvNeXtBase,0.972550343120711,0.9993978623343668,0.9716209785479303,0.9751154972935191,0.9689524445747374,0.9960253017177554
ViT-Base,0.9806502418719766,0.9989248101429721,0.9795293387388184,0.9813501728353455,0.9781321799255199,0.9936968281008421
EfficientNetV2M,0.9709753628079649,0.9990985124474893,0.9676394729448631,0.9682201786023391,0.9686794514845769,0.9942065514454469
InceptionResNetV2,0.9721565980425245,0.9993049403463942,0.9709209779751337,0.9714229263198273,0.9706737353330582,0.9939039928109769
SoftVoting,0.9856564292946338,0.9998029037919051,0.9856880449026743,0.9864412539218533,0.9851486619112696,0.9982659707668714
RigorousStacking,0.9855439307008662,0.9989317749845575,0.985637502223722,0.9864229983061324,0.9850034418403898,0.9956416038153963
