Model,Accuracy,AUC,F1,Precision,Recall,PR-AUC
ConvNeXtBase,0.8947630922693267,0.9820239856235566,0.8157289735821392,0.8506334882712773,0.787725695291589,0.8933711922036808
ViT-Base,0.9057356608478803,0.9820963430478368,0.8540752729518735,0.8824424789487056,0.8318687484721198,0.903940313689744
EfficientNetV2M,0.8807980049875311,0.974729526487095,0.7918959102276257,0.799724530301205,0.7988397342089032,0.8674336624490014
InceptionResNetV2,0.827431421446384,0.9143838776832706,0.6554665172317176,0.7135729431212957,0.6260181051480125,0.729811065455854
SoftVoting,0.9092269326683292,0.9877141669790969,0.865135945006914,0.9053700937448446,0.8330757671400644,0.9222355841922641
RigorousStacking,0.9167082294264339,0.9800776135766797,0.8728917082601603,0.9042570977638238,0.8487415939573434,0.9182377111537455
