Model,Accuracy,AUC_macro,AUC_weighted,Precision_macro,Precision_weighted,Recall_macro,Recall_weighted,F1_macro,F1_weighted,PR_AUC_macro,PR_AUC_weighted,Log_Loss
ConvNeXtBase,0.8947630922693267,0.9820239856235566,0.9770759245438929,0.8506334882712773,0.8926883617166224,0.787725695291589,0.8947630922693267,0.8157289735821392,0.8929204821173573,0.8933711922036808,0.9451112894418842,0.5128684280706033
ViT-Base,0.9057356608478803,0.9820963430478368,0.9774516630315256,0.8824424789487056,0.904603151426406,0.8318687484721198,0.9057356608478803,0.8540752729518735,0.9046368071902755,0.903940313689744,0.9461320514072382,0.5065885960554198
EfficientNetV2M,0.8807980049875311,0.974729526487095,0.9684299214782723,0.799724530301205,0.8777016886502059,0.7988397342089032,0.8807980049875311,0.7918959102276257,0.8756252228546191,0.8674336624490014,0.9300386871276196,0.6306151424684695
InceptionResNetV2,0.827431421446384,0.9143838776832706,0.9100132465254357,0.7135729431212957,0.822356246248569,0.6260181051480125,0.827431421446384,0.6554665172317176,0.8197830496807654,0.729811065455854,0.8502128450893401,0.7228032429237263
SoftVoting,0.9092269326683292,0.9877141669790969,0.9824095839961897,0.9053700937448446,0.9070450768850126,0.8330757671400644,0.9092269326683292,0.865135945006914,0.9063650727550701,0.9222355841922641,0.9582265796748384,0.27597430028098846
RigorousStacking,0.9167082294264339,0.9800776135766797,0.9774084238708232,0.9042570977638238,0.9155074251427116,0.8487415939573434,0.9167082294264339,0.8728917082601603,0.9153374419555106,0.9182377111537455,0.953113037714725,0.30001267938573745
