Model,Accuracy,AUC,F1,Precision,Recall,PR-AUC
ConvNeXtBase,0.9894767611809413,0.9994737805655618,0.9902560875696984,0.9899257132779753,0.9906326940290803,0.9977497632828634
ViT-Base,0.9900613855597779,0.9995231029057847,0.9912037399736692,0.9911344945781794,0.9912901663971689,0.9981570017982636
EfficientNetV2M,0.9918152586962876,0.9991696690925662,0.9931530598556895,0.9931965860863636,0.9931204578662859,0.9969335333508084
InceptionResNetV2,0.9871382636655949,0.9995669192835615,0.9887241587203028,0.9887937726189142,0.9887727821204697,0.9985540927102652
SoftVoting,0.9944460684010523,0.9995935221223785,0.9954031054900965,0.9953930613934115,0.9954149093840439,0.9987084233100308
RigorousStacking,0.9938614440222158,0.999089279421052,0.9949999709736232,0.9949627244565635,0.9950395340086684,0.997843053083754
