Model,Accuracy,AUC_macro,AUC_weighted,Precision_macro,Precision_weighted,Recall_macro,Recall_weighted,F1_macro,F1_weighted,PR_AUC_macro,PR_AUC_weighted,Log_Loss
ConvNeXtBase,0.9894767611809413,0.9994737805655618,0.999370381312175,0.9899257132779753,0.989533302477779,0.9906326940290803,0.9894767611809413,0.9902560875696984,0.9894775833249809,0.9977497632828634,0.997732766434054,0.04490192845740899
ViT-Base,0.9900613855597779,0.9995231029057847,0.9994449700498231,0.9911344945781794,0.9900725979795143,0.9912901663971689,0.9900613855597779,0.9912037399736692,0.9900573109435403,0.9981570017982636,0.9979167355590292,0.050730935996828964
EfficientNetV2M,0.9918152586962876,0.9991696690925662,0.9990203705159949,0.9931965860863636,0.991833259592612,0.9931204578662859,0.9918152586962876,0.9931530598556895,0.9918175266982074,0.9969335333508084,0.9967108202474815,0.06298228175150965
InceptionResNetV2,0.9871382636655949,0.9995669192835615,0.9994681539885203,0.9887937726189142,0.9872264441657128,0.9887727821204697,0.9871382636655949,0.9887241587203028,0.9871139436759699,0.9985540927102652,0.9983985616648742,0.04643868784564296
SoftVoting,0.9944460684010523,0.9995935221223785,0.9995597134619979,0.9953930613934115,0.9944450473011447,0.9954149093840439,0.9944460684010523,0.9954031054900965,0.994444825808062,0.9987084233100308,0.9987367569873201,0.02922384067772753
RigorousStacking,0.9938614440222158,0.999089279421052,0.9989532210357004,0.9949627244565635,0.9938614552469152,0.9950395340086684,0.9938614440222158,0.9949999709736232,0.9938602839652438,0.997843053083754,0.997655101555794,0.037284015110565505
