Model,Accuracy,AUC_macro,AUC_weighted,Precision_macro,Precision_weighted,Recall_macro,Recall_weighted,F1_macro,F1_weighted,PR_AUC_macro,PR_AUC_weighted,Log_Loss
ConvNeXtBase,0.9102564102564102,0.9243943191311612,0.9243943191311612,0.8823051948051948,0.9119005994005994,0.8934837092731829,0.9102564102564102,0.8876311998353571,0.9109028448398689,0.9178153210409317,0.9367682439734875,0.31186999289755374
ViT-Base,0.9166666666666666,0.9306599832915623,0.9306599832915623,0.8963944856839873,0.916118769883351,0.8903508771929824,0.9166666666666666,0.8933024675119693,0.9163466091439997,0.9301513850603016,0.9461648585247101,0.2939043219465229
EfficientNetV2M,0.8717948717948718,0.8966165413533835,0.8966165413533835,0.8400862068965518,0.8701259946949602,0.8295739348370927,0.8717948717948718,0.8345705196182396,0.8707888082225304,0.8766287154477828,0.9113063119740127,0.38128776002674597
InceptionResNetV2,0.8910256410256411,0.8995927318295739,0.8997132253711201,0.8599506071208067,0.8919134991372076,0.8652882205513784,0.8910256410256411,0.8625550660792951,0.8914266350389698,0.8811884415114999,0.9045137727551252,0.5173168147718672
SoftVoting,0.9294871794871795,0.9431913116123642,0.9431913116123641,0.9129374337221633,0.9290398890610979,0.906641604010025,0.9294871794871795,0.9097174725101278,0.9292163615833843,0.938517391824558,0.9534345104080904,0.23855462217909226
RigorousStacking,0.9102564102564102,0.940267335004177,0.9402673350041771,0.9027777777777777,0.9091880341880341,0.8634085213032581,0.9102564102564102,0.8803418803418803,0.9079552925706772,0.9362787557168688,0.9509261094977902,0.3171486242347028
