Model,Accuracy,AUC,F1,Precision,Recall,PR-AUC
ConvNeXtBase,0.9102564102564102,0.9243943191311612,0.8876311998353571,0.8823051948051948,0.8934837092731829,0.9178153210409317
ViT-Base,0.9166666666666666,0.9306599832915623,0.8933024675119693,0.8963944856839873,0.8903508771929824,0.9301513850603016
EfficientNetV2M,0.8717948717948718,0.8966165413533835,0.8345705196182396,0.8400862068965518,0.8295739348370927,0.8766287154477828
InceptionResNetV2,0.8910256410256411,0.8995927318295739,0.8625550660792951,0.8599506071208067,0.8652882205513784,0.8811884415114999
SoftVoting,0.9294871794871795,0.9431913116123642,0.9097174725101278,0.9129374337221633,0.906641604010025,0.938517391824558
RigorousStacking,0.9102564102564102,0.940267335004177,0.8803418803418803,0.9027777777777777,0.8634085213032581,0.9362787557168688
